Name,Points,Tags,Status,Pomos (25 mins),Do Date,Related To,Relates,Source,Created Time,Last edited time,Problem Statement,Day Completed,Pattern
Bit Logic,1600,alphagrep,waiting,1,,,,,"Jan 15, 2021 12:26 PM","May 11, 2021 9:12 AM",,,"../Custom%20datastructures%206c89204250cd4dbb88ef0addf2ca20a3.md, ../Bits%20e38c7329b88e4b65ac64bfc4a9ffc7ed.md"
Bitwise AND of Range of Numbers | binarysearch,1500,,done,1,"Dec 15, 2020",,,https://binarysearch.com/problems/Bitwise-AND-of-Range-of-Numbers,"Dec 15, 2020 9:25 AM","May 11, 2021 9:12 AM","Given two integers start and end, return the bitwise AND of all numbers in [start, end], inclusive.",,"../Custom%20datastructures%206c89204250cd4dbb88ef0addf2ca20a3.md, ../Bits%20e38c7329b88e4b65ac64bfc4a9ffc7ed.md"
Next Binary Permutation,1600,,ok,2,"Feb 02, 2021",,,https://binarysearch.com/problems/Next-Binary-Permutation,"Dec 10, 2020 7:54 PM","May 11, 2021 9:12 AM","Given an integer n, find the smallest integer which is greater than n and contains same number of set bits?",,"../Custom%20datastructures%206c89204250cd4dbb88ef0addf2ca20a3.md, ../Bits%20e38c7329b88e4b65ac64bfc4a9ffc7ed.md"
Two Single Numbers (medium),,,ok,1,"Dec 22, 2020",,,educative.io,"Dec 22, 2020 4:57 PM","May 11, 2021 9:12 AM","In a non-empty array of numbers, every number appears exactly twice except two numbers that appear only once. Find the two numbers that appear only once.",,"../Custom%20datastructures%206c89204250cd4dbb88ef0addf2ca20a3.md, ../Bits%20e38c7329b88e4b65ac64bfc4a9ffc7ed.md"
XOR Range Queries | binarysearch,1000,,done,,,,,https://binarysearch.com/problems/XOR-Range-Queries,"Jan 15, 2021 12:36 PM","May 11, 2021 9:12 AM",,,"../Custom%20datastructures%206c89204250cd4dbb88ef0addf2ca20a3.md, ../Bits%20e38c7329b88e4b65ac64bfc4a9ffc7ed.md"
Bit Sum,1500,pending,done,,"Dec 10, 2020",,,https://binarysearch.com/problems/Bit-Sum,"Dec 10, 2020 8:12 PM","May 11, 2021 9:12 AM","Given an array of n integers, you must perform k operations. In each operation Choose any number on the list. In the binary representation of the number, choose a bit that is 0 and make it 1.make any 0 → 1. Find the least possible sum after k such operations?",,"../Custom%20datastructures%206c89204250cd4dbb88ef0addf2ca20a3.md, ../Bits%20e38c7329b88e4b65ac64bfc4a9ffc7ed.md"
Set Bits,1600,,done,,"Dec 08, 2020",,,https://binarysearch.com/problems/Set-Bits,"Dec 08, 2020 11:15 PM","May 11, 2021 9:12 AM","Given n, return the number of set bits in all the numbers from 1 to n?",,"../Custom%20datastructures%206c89204250cd4dbb88ef0addf2ca20a3.md, ../Bits%20e38c7329b88e4b65ac64bfc4a9ffc7ed.md"
Lone Integer,1500,puzzle,done,,"Dec 08, 2020",,,binarysearch.com,"Dec 08, 2020 10:01 PM","May 11, 2021 9:12 AM",Given an array in which each element occurs exactly 3 times except for one element. Find that element in O(1) space?,,"../Custom%20datastructures%206c89204250cd4dbb88ef0addf2ca20a3.md, ../Bits%20e38c7329b88e4b65ac64bfc4a9ffc7ed.md"
E. Apollo versus Pan,,,waiting,,,,,https://codeforces.com/contest/1466/problem/E,"Dec 29, 2020 10:20 PM","May 11, 2021 9:12 AM",,,"../Custom%20datastructures%206c89204250cd4dbb88ef0addf2ca20a3.md, ../Bits%20e38c7329b88e4b65ac64bfc4a9ffc7ed.md"
3Sum ,1500,,ok,,,,,,"Dec 01, 2020 11:29 PM","Feb 25, 2021 8:21 AM",,,../Array%20af1fbf6be3da4abfadba9d43c8017242.md
