Name,Points,Status,Pattern,Tags,Pomos (25 mins),Do Date,Source,Related To,Relates,Created Time,Problem Statement,Last edited time,Day Completed
Two Single Numbers (medium),,ok,"https://www.notion.so/Custom-datastructures-6c89204250cd4dbb88ef0addf2ca20a3, https://www.notion.so/Bits-e38c7329b88e4b65ac64bfc4a9ffc7ed",,1,"Dec 22, 2020",educative.io,,,"Dec 22, 2020 4:57 PM","In a non-empty array of numbers, every number appears exactly twice except two numbers that appear only once. Find the two numbers that appear only once.","May 11, 2021 9:12 AM",
Insert Interval,,done,https://www.notion.so/Intervals-ebd124f2083d4f999c01b25e664d9e01,,,"Dec 22, 2020",https://leetcode.com/problems/insert-interval/,,,"Dec 22, 2020 11:48 AM",,"Mar 04, 2021 8:12 AM",
Partition Labels - Leetcode,1600,done,"https://www.notion.so/Two-Pointers-5f3e09475eb74b08b0880a7c6e1baa74, https://www.notion.so/String-31fee88325084b2db1f8d82cce81360c, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3, https://www.notion.so/Intervals-ebd124f2083d4f999c01b25e664d9e01",interval,1,"Jan 09, 2021",https://leetcode.com/problems/partition-labels/,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Activity%20Selection%20Problem%20b98e4f278b8745d182d05ec2bebc05ef.md,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Delivering%20Boxes%20from%20Storage%20to%20Ports%209dd9d38372434fcfb2d66302b6114425.md,"Dec 22, 2020 11:16 AM",,"Mar 04, 2021 8:12 AM",
Minimum Window Sort (medium),1600,done,"https://www.notion.so/Two-Pointers-5f3e09475eb74b08b0880a7c6e1baa74, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3",,1,"Dec 22, 2020",https://leetcode.com/problems/shortest-unsorted-continuous-subarray/,,,"Dec 22, 2020 10:49 AM",,"Mar 01, 2021 3:43 PM",
Triplet Sum Less than the target,,waiting,https://www.notion.so/Two-Pointers-5f3e09475eb74b08b0880a7c6e1baa74,,,,,,,"Dec 22, 2020 9:34 AM",,"May 20, 2021 9:56 AM",
Pair with the target sum,800,done,"https://www.notion.so/Two-Pointers-5f3e09475eb74b08b0880a7c6e1baa74, https://www.notion.so/Greedy-ea1f204b1d0b40e89fdb87f6dc8055d3",,,"Dec 22, 2020",,,,"Dec 22, 2020 9:30 AM",,"Mar 01, 2021 3:43 PM",
" Triplet sum to zero",,done,https://www.notion.so/Two-Pointers-5f3e09475eb74b08b0880a7c6e1baa74,,,"Dec 22, 2020",,,,"Dec 22, 2020 9:21 AM",,"Mar 01, 2021 8:38 AM",
Squaring a Sorted Array,,done,https://www.notion.so/Two-Pointers-5f3e09475eb74b08b0880a7c6e1baa74,,,"Dec 21, 2020",,,,"Dec 21, 2020 7:46 PM",,"Mar 01, 2021 8:38 AM",
No two animals are adjacent #Ways,1600,ok,"https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee, https://www.notion.so/Number-Theory-02e26369bab8475881b8a6a9d7b33ca9, https://www.notion.so/Linear-DP-40f64e6224704d17972aa352dc735edb",de shaw,2,"Jan 31, 2021",,,,"Dec 18, 2020 9:04 AM","There are x lions, y tigers, z leopards, and w panthers. Find the number of ways to place them on a line such that no two same animals are adjacent to each other. (0<=x,y,z,w<=51) [DP]","May 11, 2021 9:01 AM",
Bitwise AND of Range of Numbers | binarysearch,1500,done,"https://www.notion.so/Custom-datastructures-6c89204250cd4dbb88ef0addf2ca20a3, https://www.notion.so/Bits-e38c7329b88e4b65ac64bfc4a9ffc7ed",,1,"Dec 15, 2020",https://binarysearch.com/problems/Bitwise-AND-of-Range-of-Numbers,,,"Dec 15, 2020 9:25 AM","Given two integers start and end, return the bitwise AND of all numbers in [start, end], inclusive.","May 11, 2021 9:12 AM",
F - Range Xor Query,1700,ok,"https://www.notion.so/Array-af1fbf6be3da4abfadba9d43c8017242, https://www.notion.so/Segment-Tree-44c358c781f5413b906dfd28e43f6b8e",,,"Dec 12, 2020",https://atcoder.jp/contests/abc185/tasks/abc185_f,,,"Dec 12, 2020 8:24 PM","Given an integer array A of length N (<300000). You need to support two types of queries, (1, x, y) → update A[x] ^= y. And (2, x, y) → return A[x]^A[x + 1]^....^A[y]. ","May 11, 2021 8:57 AM",
E - Sequence Matching,1700,done,"https://www.notion.so/Two-Pointers-5f3e09475eb74b08b0880a7c6e1baa74, https://www.notion.so/String-31fee88325084b2db1f8d82cce81360c, https://www.notion.so/Dp-71e29475df134130a63445f5437e90ee",,,"Dec 12, 2020",https://atcoder.jp/contests/abc185/tasks/abc185_e,,,"Dec 12, 2020 6:08 PM","Given two integers sequences A and B of lengths n and m respectively. You can convert A and B to A1 and B1 by removing some elements from them such that |A1| = |B1|.  Let x be the number of elements removed in both A and B. And Let y be the number of positions i, such that A1 and B1 differ. 
Return the minimum possible value of x + y? ","Mar 01, 2021 8:46 AM",
Expected number of loops in a bag of ropes,1600,ok,,"interview, mathisys",,"Dec 07, 2020",,,,"Dec 07, 2020 8:09 PM","You have a bag of n ropes. In one operation you can select 2 ends randomly and join them. If they are from the same rope, a loop is formed. Otherwise the two ropes will become one. What is the expected number of loops at the end of n operations?","May 19, 2021 10:00 PM",
Two archers shoot a target,1500,done,,,,"Nov 30, 2020",,,,"Dec 07, 2020 7:39 PM","Two archers shoot at a target. The distance of each shot from the center of the target is uniformly distributed from 0 to 1, independently of the other shot. What is the PDF (probability density function) of the distance from the center for the winning shot?","Dec 26, 2020 9:28 AM",
Start of the cycle in linked list,1500,done,"https://www.notion.so/Two-Pointers-5f3e09475eb74b08b0880a7c6e1baa74, https://www.notion.so/Linked-List-fed40f1dbcfc43d9913de240bdc06f68","interview, mathisys",,"Dec 07, 2020",https://leetcode.com/problems/linked-list-cycle-ii/,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Linked%20List%20Cycle%20c19a53a841fb41e7bda27a6a2becc7d6.md,,"Dec 07, 2020 6:07 PM","Given a linked list, find the start of the cycle?","May 19, 2021 10:01 PM",
Probability that the other child is also a boy II,1500,done,https://www.notion.so/Probability-ab40acf93bd848578d3792035d39e887,,,"Dec 07, 2020",,Programming%20Problems%20a6f7fa1f868e40dcaee7d47b4ab9f17f/Probability%20that%20other%20child%20is%20also%20a%20boy%20ec6a06e172954251a8ff1d442eebc516.md,,"Dec 07, 2020 2:51 PM","A person has two children, it is given that one of them is boy born on wednesday. What is the probability that the other is also boy?","May 11, 2021 9:08 AM",
